Latitude,Longitude,Zones,Lab,Ag,B,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,V,Zn,As,Sb,Se,Hg,Fe,Al,pH H2O,pH KCl,PM,K+,Ca2+,Mg2+,Al3+,H+Al,SB,ECEC,CEC,V (%),m (%),SOM,PREM,Coarse sand,Fine sand,Silt,Clay
-20.05594,-45.43081,SF,UFV1,0,1.14559749674312,58.12,1.16,2.13,10.52,18.41,124.96,0.455179433909691,4.84,15.34,5.77,21.41,26.06,2.14,0.79,0.0466662,0.0342896437742502,17182.48,51929.71,5.1,4.2,2.3,30,0.5,0.1,0.4,3.8,0.7,1.1,4.5,15.7,35.5,2.3,24.5,22,14,10,54
-20.57117,-45.82375,SF,UFV1,0,18.59,89.14,3.26,23.71,65.5,64.72,562.49,0.455179433909691,34.97,30.02,4.08,53.68,63.51,18.29,1.33,0.11,0.0342896437742502,64136.52,25211.03,5.3,4.3,1.5,123,1.6,0.8,0.2,5.1,2.7,2.9,7.8,34.9,6.5,3.6,32.7,23,11,29,37
-20.33219,-46.36631,SF,UFV1,0,11.88,96.28,2.61,39.08,43.7,71.37,979.6,0.455179433909691,13.05,28.78,3.8,48.83,51.61,15.9,0.63,0.16,0.0342896437742502,66825.83,39363.95,4.9,3.9,1.6,89,0.3,0.1,2.2,8,0.7,2.9,8.7,7.5,77.4,4,24,12,4,34,50
-20.42197,-46.10614,SF,UFV1,0,3.12,74.42,0.178803683470566,3.95,55.95,44.38,117.65,0.455179433909691,14.98,39.34,5.78,76.41,29.74,2.42,0.78,0.48,0.0342896437742502,12285.77,72427.15,5.3,4.3,51.5,220,1,0.5,1,21.5,2.1,3,23.6,8.8,31.7,24.9,12.3,23,7,33,37
-20.05925,-45.40531,SF,UFV1,0,10.66,16.42,2.71,1.98,62.85,65.02,244.75,0.455179433909691,6.04,17.21,8.37,142.35,39.13,12.51,0.01733316,0.33,0.0342896437742502,71908.42,71247.12,4.8,3.9,2,38,0.3,0.1,2,14.3,0.5,2.5,14.8,3.4,80.2,6.8,18.4,6,3,5,86
-20.83747,-46.36333,TO,UFV1,0,7.78,96.28,1.76,1.18,33.55,28.17,46.89,0.455179433909691,3.23,15.88,4.59,81.32,16.96,1.79,0.11,0.23,0.0342896437742502,27293.87,42304.07,5.1,4,1.3,58,0.8,0.2,0.6,6.4,1.2,1.7,7.6,15.3,33.3,4,32.9,4,43,24,29
-21.62333,-46.41589,MA,UFV1,0,4.94,165.43,1.22,3.39,37.21,44.21,113.46,0.455179433909691,10.91,9.44,40.21,40.64,23.88,2.54,0.09,0.0466662,0.0342896437742502,46612.76,74843.1,4.7,3.8,2.8,86,0.5,0.3,1.4,10.8,1,2.3,11.8,8.2,58.4,4.5,29.8,23,10,8,59
-21.56667,-45.69281,MA,UFV1,0,12.17,19.8,3.1,3.27,161.92,83.6,74.91,0.455179433909691,12.08,20.09,6.3,163.05,35.86,2.27,0.14,0.65,0.08,80549.85,52329.08,4.5,3.8,3.8,53,0.3,0.1,1.3,11.3,0.6,1.9,11.9,5.2,66.8,5.6,31.9,17,11,12,60
-21.11578,-44.73986,SF,UFV1,0,17.82,23.9,1.81,1.79,59.73,47.04,78.4,0.455179433909691,8.82,13.23,1.35,83.19,21.9,9.52,1.66,0.15,0.0342896437742502,41218.13,62468.8,5.6,4,1.4,72,0.1,0.1,1,7.8,0.4,1.4,8.2,5,70.1,4.1,21.7,22,20,13,45
-20.40528,-46.08122,SF,UFV1,0,19.9,41.28,3.82,2.09,116.12,112.61,209.3,0.455179433909691,9.04,25.49,5.04,210.02,33.72,12.81,0.73,0.33,0.0342896437742502,104068.23,178099.84,5.5,4.9,0.6,34,1.9,1.1,0,5.9,3,3,8.9,33.9,0,4.9,9.6,1,3,20,76
